"sign","canonical_web_path","canonical_exists","canonical_matches_variant","variant_web_path","variant_file"
"aquarius","/assets/zodiac/aquarius.png","True","False","/assets/scraped/zodiac/signs/aquarius/variants/aquarius-307e7d81049ece06b620dbbf9bf4b6f1.png","aquarius-307e7d81049ece06b620dbbf9bf4b6f1.png"
"aquarius","/assets/zodiac/aquarius.png","True","False","/assets/scraped/zodiac/signs/aquarius/variants/aquarius-4d1a4c612dac8d63571e3a803079db62.png","aquarius-4d1a4c612dac8d63571e3a803079db62.png"
"aquarius","/assets/zodiac/aquarius.png","True","False","/assets/scraped/zodiac/signs/aquarius/variants/aquarius-744d2c4c7c38a2a944385b2a484385f4.png","aquarius-744d2c4c7c38a2a944385b2a484385f4.png"
"aquarius","/assets/zodiac/aquarius.png","True","False","/assets/scraped/zodiac/signs/aquarius/variants/Aquarius-8427b085b8572aadc4b0e08e51b9c8c0.png","Aquarius-8427b085b8572aadc4b0e08e51b9c8c0.png"
"aquarius","/assets/zodiac/aquarius.png","True","False","/assets/scraped/zodiac/signs/aquarius/variants/aquarius-9e8d07fc14fd817d47bdf923c1f1c77a.webp","aquarius-9e8d07fc14fd817d47bdf923c1f1c77a.webp"
"aquarius","/assets/zodiac/aquarius.png","True","False","/assets/scraped/zodiac/signs/aquarius/variants/aquarius-a03e35c2b67bbb365fa212efa47a1cfe.webp","aquarius-a03e35c2b67bbb365fa212efa47a1cfe.webp"
"aquarius","/assets/zodiac/aquarius.png","True","True","/assets/scraped/zodiac/signs/aquarius/variants/aquarius-def10165506275204da47317575c1e70.png","aquarius-def10165506275204da47317575c1e70.png"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/aries-17dba3b13bf903811f4b0884a604ba1c.png","aries-17dba3b13bf903811f4b0884a604ba1c.png"
"aries","/assets/zodiac/aries.png","True","True","/assets/scraped/zodiac/signs/aries/variants/aries-20ecd69cbc4c37f3e0a90de1c466a234.png","aries-20ecd69cbc4c37f3e0a90de1c466a234.png"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/aries-2aec6634157edf7c2ac012f0a08cd27a.webp","aries-2aec6634157edf7c2ac012f0a08cd27a.webp"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/aries-3fa7ace19420ac81eed9c0a3473ff870.png","aries-3fa7ace19420ac81eed9c0a3473ff870.png"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/Aries-466941b01e410a009b368e1a2a27703b.png","Aries-466941b01e410a009b368e1a2a27703b.png"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/aries-57153a7005d526b0c6ea00d1712d3788.png","aries-57153a7005d526b0c6ea00d1712d3788.png"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/aries-9c9488751a78acfdbc148f0276434d18.webp","aries-9c9488751a78acfdbc148f0276434d18.webp"
"aries","/assets/zodiac/aries.png","True","False","/assets/scraped/zodiac/signs/aries/variants/aries-c83499da582d3c8eb19165d7ac3c08f1.webp","aries-c83499da582d3c8eb19165d7ac3c08f1.webp"
